city,county,state,population
Rio Vista,Solano,California,"7,360"
Ripon,San Joaquin,California,"14,297"
Riverbank,Stanislaus,California,"22,678"
Riverside,Riverside,California,"303,871"
Rocklin,Placer,California,"56,974"
Rohnert Park,Sonoma,California,"40,971"
Rolling Hills,Los Angeles,California,"1,860"
Rolling Hills Estates,Los Angeles,California,"8,067"
Rosemead,Los Angeles,California,"53,764"
Roseville,Placer,California,"118,788"
Ross,Marin,California,"2,415"
Sacramento,Sacramento,California,"466,488"
St. Helena,Napa,California,"5,814"
Salinas,Monterey,California,"150,441"
San Anselmo,Marin,California,"12,336"
San Bernardino,San Bernardino,California,"209,924"
San Bruno,San Mateo,California,"41,114"
San Carlos,San Mateo,California,"28,406"
San Clemente,Orange,California,"63,522"
San Diego,San Diego,California,"1,301,617"
San Dimas,Los Angeles,California,"33,371"
San Fernando,Los Angeles,California,"23,645"
San Francisco,San Francisco,California,"805,235"
San Gabriel,Los Angeles,California,"39,718"
San Jacinto,Riverside,California,"44,199"
San Joaquin,Fresno,California,"4,001"
San Jose,Santa Clara,California,"945,942"
San Juan Bautista,San Benito,California,"1,862"
San Juan Capistrano,Orange,California,"34,593"
San Leandro,Alameda,California,"84,950"
San Luis Obispo,San Luis Obispo,California,"45,119"
San Marcos,San Diego,California,"83,781"
San Marino,Los Angeles,California,"13,147"
San Mateo,San Mateo,California,"97,207"
San Pablo,Contra Costa,California,"29,139"
San Rafael,Marin,California,"57,713"
San Ramon,Contra Costa,California,"72,148"
Sand City,Monterey,California,334
Sanger,Fresno,California,"24,270"
Santa Ana,Orange,California,"324,528"
Santa Barbara,Santa Barbara,California,"88,410"
Santa Clara,Santa Clara,California,"116,468"
Santa Clarita,Los Angeles,California,"176,320"
Santa Cruz,Santa Cruz,California,"59,946"
Santa Fe Springs,Los Angeles,California,"16,223"
Santa Maria,Santa Barbara,California,"99,553"
Santa Monica,Los Angeles,California,"89,736"
Santa Paula,Ventura,California,"29,321"
Santa Rosa,Sonoma,California,"167,815"
Santee,San Diego,California,"53,413"
Saratoga,Santa Clara,California,"29,926"
Sausalito,Marin,California,"7,061"
Scotts Valley,Santa Cruz,California,"11,580"
Seal Beach,Orange,California,"24,168"
Seaside,Monterey,California,"33,025"
Sebastopol,Sonoma,California,"7,379"
Selma,Fresno,California,"23,219"
Shafter,Kern,California,"16,988"
Shasta Lake,Shasta,California,"10,164"
Sierra Madre,Los Angeles,California,"10,917"
Signal Hill,Los Angeles,California,"11,016"
Simi Valley,Ventura,California,"124,237"
Solana Beach,San Diego,California,"12,867"
Soledad,Monterey,California,"25,738"
Solvang,Santa Barbara,California,"5,245"
Sonoma,Sonoma,California,"10,648"
Sonora,Tuolumne,California,"4,903"
South El Monte,Los Angeles,California,"20,116"
South Gate,Los Angeles,California,"94,396"
South Lake Tahoe,El Dorado,California,"21,403"
South Pasadena,Los Angeles,California,"25,619"
South San Francisco,San Mateo,California,"63,632"
Stanton,Orange,California,"38,186"
Stockton,San Joaquin,California,"291,707"
Suisun City,Solano,California,"28,111"
Sunnyvale,Santa Clara,California,"140,081"
Susanville,Lassen,California,"17,947"
Sutter Creek,Amador,California,"2,501"
Taft,Kern,California,"9,327"
Tehachapi,Kern,California,"14,414"
Tehama,Tehama,California,418
Temecula,Riverside,California,"100,097"
Temple City,Los Angeles,California,"35,558"
Thousand Oaks,Ventura,California,"126,683"
Tiburon,Marin,California,"8,962"
Torrance,Los Angeles,California,"145,538"
Tracy,San Joaquin,California,"82,922"
Trinidad,Humboldt,California,367
Truckee,Nevada,California,"16,180"
Tulare,Tulare,California,"59,278"
Tulelake,Siskiyou,California,"1,010"
Turlock,Stanislaus,California,"68,549"
Tustin,Orange,California,"75,540"
Twentynine Palms,San Bernardino,California,"25,048"
Ukiah,Mendocino,California,"16,075"
Union City,Alameda,California,"69,516"
Upland,San Bernardino,California,"73,732"
Vacaville,Solano,California,"92,428"
Vallejo,Solano,California,"115,942"
Ventura,Ventura,California,"106,433"
Vernon,Los Angeles,California,112
Victorville,San Bernardino,California,"115,903"
Villa Park,Orange,California,"5,812"
Visalia,Tulare,California,"124,442"
Vista,San Diego,California,"93,834"
Walnut,Los Angeles,California,"29,172"
Walnut Creek,Contra Costa,California,"64,173"
Wasco,Kern,California,"25,545"
Waterford,Stanislaus,California,"8,456"
Watsonville,Santa Cruz,California,"51,199"
Weed,Siskiyou,California,"2,967"
West Covina,Los Angeles,California,"106,098"
West Hollywood,Los Angeles,California,"34,399"
West Sacramento,Yolo,California,"48,744"
Westlake Village,Los Angeles,California,"8,270"
Westminster,Orange,California,"89,701"
Westmorland,Imperial,California,"2,225"
Wheatland,Yuba,California,"3,456"
Whittier,Los Angeles,California,"85,331"
Wildomar,Riverside,California,"32,176"
Williams,Colusa,California,"5,123"
Willits,Mendocino,California,"4,888"
Willows,Glenn,California,"6,166"
Windsor,Sonoma,California,"26,801"
Winters,Yolo,California,"6,624"
Woodlake,Tulare,California,"7,279"
Woodland,Yolo,California,"55,468"
Woodside,San Mateo,California,"5,287"
Yorba Linda,Orange,California,"64,234"
Yountville,Napa,California,"2,933"
Yreka,Siskiyou,California,"7,765"
Yuba City,Sutter,California,"64,925"
Yucaipa,San Bernardino,California,"51,367"
Yucca Valley,San Bernardino,California,"20,700"
