id,label,parent_label,label_manual,parent_label_manual
283837,Badger,Wildlife,NULL,NULL
72726,Badminton,Person,NULL,NULL
72727,Badminton,Sport,NULL,NULL
8197,Bagel,Bread,NULL,NULL
8194,Bagel,Food,NULL,NULL
16378,Bagpipe,Leisure Activities,NULL,NULL
16374,Bagpipe,Musical Instrument,NULL,NULL
6760,Bakery,Shop,NULL,NULL
279336,Balance Beam,Acrobatic,NULL,NULL
279332,Balance Beam,Gymnastics,NULL,NULL
279335,Balance Beam,Person,NULL,NULL
279334,Balance Beam,Sport,NULL,NULL
56312,Bald Eagle,Animal,NULL,NULL
56318,Bald Eagle,Bird,NULL,NULL
56315,Bald Eagle,Eagle,NULL,NULL
22650,Ballerina,Ballet,NULL,NULL
22645,Ballerina,Dance,NULL,NULL
22655,Ballerina,Person,NULL,NULL
22638,Ballet,Dance,NULL,NULL
22641,Ballet,Person,NULL,NULL
17905,Balloon,Ball,NULL,NULL
37787,Ballplayer,Athlete,NULL,NULL
37783,Ballplayer,Baseball,NULL,NULL
37779,Ballplayer,People,NULL,NULL
37799,Ballplayer,Person,NULL,NULL
37791,Ballplayer,Sport,NULL,NULL
37802,Ballplayer,Team,NULL,NULL
37795,Ballplayer,Team Sport,NULL,NULL
353595,Ballroom,Indoors,NULL,NULL
353594,Ballroom,Room,NULL,NULL
148911,Bamboo,Plant,NULL,NULL
149361,Bamboo Shoot,Bamboo,NULL,NULL
149358,Bamboo Shoot,Food,NULL,NULL
149355,Bamboo Shoot,Plant,NULL,NULL
149351,Bamboo Shoot,Produce,NULL,NULL
149347,Bamboo Shoot,Vegetable,NULL,NULL
7890,Banana,Food,NULL,NULL
7888,Banana,Fruit,NULL,NULL
7886,Banana,Plant,NULL,NULL
18327,Bandage,First Aid,NULL,NULL
18637,Bandana,Clothing,NULL,NULL
18643,Bandana,Hat,NULL,NULL
18641,Bandana,Headband,NULL,NULL
53150,Bangles,Accessories,NULL,NULL
53149,Bangles,Jewelry,NULL,NULL
39776,Banjo,Leisure Activities,NULL,NULL
39773,Banjo,Musical Instrument,NULL,NULL
6673,Banner,Text,NULL,NULL
3089,Bar Counter,Pub,NULL,NULL
18853,Bar Stool,Furniture,NULL,NULL
26905,Barbed Wire,Wire,NULL,NULL
57189,Barbie,Doll,NULL,NULL
57195,Barbie,Figurine,NULL,NULL
57192,Barbie,Toy,NULL,NULL
47506,Barge,Boat,NULL,NULL
47514,Barge,Transportation,NULL,NULL
47509,Barge,Vehicle,NULL,NULL
47518,Barge,Watercraft,NULL,NULL
153618,Barn,Building,NULL,NULL
